customer_choice_number,universal_style_number,division_description,department_description,class_description,subclass_description,product_tag_category_group,product_tag_activity,product_tag_style,search_color,ga_superclass,ga_activity,price,average_rating,total_reviews,product_description,activity_description
415557022,415557,WOMENS,APPAREL,3RDPIECE,LONG,Tops,Restore; ,Wrap; Active Tops,MULTI,tops,recover,89.0,,,"Womens Tops
Pranayama Restore Rib Wrap
Color: MULTI (CHARCOAL GREY HEATHE)
Activity: Restore; 
About Fit and Sizing: Relaxed with room to move; Covers your assets: longer length for more coverage
Material details: 56% Cotton/40% TENCEL™ Modal/4% Spandex
Fabric performance: Breathable
Additional features: Pockets; Thumbholes
Collection: Pranayama
New In","FOR: Layering up to and from your workout; FEEL: Lightweight with a super-soft rib texture; FAVE: Side pockets stash your essentials; Thumbholes hold sleeves in place and keep warmth in
Restore; "
427387002,427387,WOMENS,APPAREL,SLEEVELESS KNIT,HIP,Tops,Yoga & Studio,Active Tops; Tank,WHITE,tops,studio,21.0,4.6,129.0,"Womens Tops
With Ease Muscle Tank
Color: WHITE (BRIGHT WHITE)
Activity: Yoga & Studio
About Fit and Sizing: Relaxed with room to move; Crop length, sits above the natural waist; Crew neck; Body length in size medium: Regular: 21""
Material details: 49% Recycled Polyester/37% TENCEL™ Modal/7% Spandex/7% Polyester
Fabric performance: Breathable; UPF; Quick Dry; Wicking
Collection: With Ease
Online Exclusive","FOR: Yoga or studio practice; FEEL: Soft, premium-weight comfort with luxurious TENCEL™ fibers that drape beautifully; FAVE: Easy fit allows for freedom of movement
Yoga & Studio"
446564032,446564,WOMENS,INTIMATES,BRAS,WIRELESS,Bras or Support Tops; Tops,Yoga & Studio,Bras,BLUE,intimates,studio,59.0,4.6,3535.0,"Womens Bras or Support Tops; Tops
Conscious Crop Bra A-C
Color: BLUE (NAVY)
Activity: Yoga & Studio
About Fit and Sizing: Fitted, crop length; Designed for: A-C cups; HIGH COVERAGE. Higher neckline design for maximum coverage; Looking for a different size? See D-DD ; Fit runs small
Material details: Solids: 75% Nylon/25% LYCRA® Elastane Abstract Print: 75% Recycled Polyester/25% LYCRA® Elastane
Fabric performance: UPF; Quick Dry; Breathable; Wicking
Additional features: Removeable Cups
Collection: Conscious Crop
Limited Edition Drop!","BEST FOR STUDIO CLASSES: yoga + barre + pilates; IMPACT: Low-impact workouts, best for A-C cups; FEEL: Powervita™ fabric is buttery soft with compression that feels like a gentle hug; FAVE: Crop silhouette keeps you breezy during summer yoga; The built-in bra provides additional support; New lightweight removable pads provide a more natural shape; Racerback design provides airflow and mobility; Easily pairs with the Empower Mastectomy Bra Insert
Yoga & Studio"
463666002,463666,WOMENS,APPAREL,PANT KNIT,STRAIGHT,Bottoms,,Pants,GREEN,bottoms,all day active,109.0,4.5,11.0,"Womens Bottoms
Cascade Cargo Terry Pant
Color: GREEN (PERENNIAL OLIVE)
About Fit and Sizing: Relaxed with room to move; Inseam: Regular: 27.5""
Material details: 57% Cotton/37% Polyester/6% Spandex
Additional features: Cargo Pocket; Pockets
Collection: Retroterry
New In","FOR: Commuting, work, and travel; FEEL: Breathable cotton with a soft, terry cloth interior; FAVE: Cargo pockets hold your essentials; Easy-access pockets to stash your essentials; External drawcord can be worn tied or open for ultimate versatility
"
463814002,463814,WOMENS,APPAREL,SHORT WOVEN,8 UNDER,Bottoms,; Hike & Explore,Shorts,GREEN,bottoms,all day active,59.0,3.9,10.0,"Womens Bottoms
Cascade Cargo Poplin Short
Color: GREEN (JUNGLE GREEN)
Activity: ; Hike & Explore
About Fit and Sizing: Relaxed with room to move; High rise, sits at the natural waist; Inseam: Regular: 3.5""
Material details: 62% Recycled Polyester/38% Polyester
Fabric performance: Abrasion Resistant; UPF; Water Repellant
Additional features: Cargo Pocket; Pockets
New In","FOR: Commuting, work, and travel; FEEL: Performance poplin is lightweight, quick drying, and breathable with an easy stretch; FAVE: Cargo pockets hold your essentials; Secure zip pockets to store your essentials; Adjustable bungee for a custom fit; Carabiner in cargo pocket
; Hike & Explore"
463948012,463948,WOMENS,APPAREL,PANT WOVEN,STRAIGHT,Bottoms,; Hike & Explore,Pants,GREEN,bottoms,all day active,119.0,3.3,43.0,"Womens Bottoms
Cascade Cargo Poplin Pant
Color: GREEN (JUNGLE GREEN)
Activity: ; Hike & Explore
About Fit and Sizing: Relaxed with room to move; High rise, sits at the natural waist; Straight leg fits slim through the leg then eases up below the knee
Material details: 62% Recycled Polyester/38% Polyester
Fabric performance: Abrasion Resistant; Quick Dry; Water Repellant
Additional features: Cargo Pocket; Pockets
New In","FOR: Commuting, work, and travel; FEEL: Performance poplin is lightweight, quick drying, and breathable with an easy stretch; FAVE: Cargo pockets hold your essentials; Secure zip pockets to store your essentials; Adjustable bungee at bottom hem for a custom fit; Adjustable bungee for a custom fit; Carabiner in cargo pocket
; Hike & Explore"
465607032,465607,WOMENS,APPAREL,PANT KNIT,BOOT/FLAIR,Bottoms,Yoga & Studio,Pants; Tights,BLACK,bottoms,studio,119.0,4.5,1621.0,"Womens Bottoms
Salutation Stash High Rise Flare Pant
Color: BLACK (BLACK)
Activity: Yoga & Studio
About Fit and Sizing: Fitted next to the body with an ultra-high-rise waistband; Sits at the natural waist; Fitted next to the body and flares at the knee; Inseam: Regular: 31.5"" Plus: 31.5"" Petite: 29.5"" Tall: 34.5""
Material details: 75% Nylon/25% Lycra
Fabric performance: Quick Dry; Wicking; UPF
Additional features: Pockets
Collection: Salutation
","FOR: Yoga or studio practice; FEEL: Powervita fabric is buttery soft with support that feels like a gentle hug; FAVE: Bonded side stash pockets hold your essentials; Made with our customer-favorite, second-skin Powervita fabric, our yoga leggings/pants are designed for your ultimate distraction-free practice
Yoga & Studio"
468484042,468484,ATHLETA GIRLS,GIRLS BOTTOMS,PANTS,KNIT,Bottoms,,Sweatpants; joggers,BLUE,bottoms,recover,54.99,4.8,128.0,"Athleta Girls Bottoms
Athleta Girl Retroplush Jogger
Color: BLUE (CELADON TINT)
About Fit and Sizing: Oversized fit; Inseam: Regular: 24""
Material details: 62% Cotton/32% Polyester/6% Spandex
Collection: Retroplush
Final Sale","FOR: School, practice, and play; FEEL: Soft, stretchy, semi-structured fleece; FAVE: Side pockets keep her treasures safe; Fully adjustable neverending drawcord gives her room to grow
"
471319042,471319,WOMENS,ACCESSORY,BAG/CARRIER/PACK,BELT BAG,Bags; Accessories,,Bags; Accessories,GRAY,accessory,all day active,55.0,,,"Womens Bags; Accessories
All About Large Crossbody Belt Bag
Color: GRAY (OYSTER GREY)
About Fit and Sizing: One size
Material details: 69% Polyester/31% Recycled Polyester
Fabric performance: Water Repellant
Additional features: Pockets; Adjustable Straps
Collection: All About
New In","FOR: Commuting, work, and travel; FEEL: Recycled polyester fabrication is sleek with a soft hand-feel; FAVE: Adjustable straps for a customizable fit; Throw over your body to hold your essentials
"
473721022,473721,WOMENS,APPAREL,SWEATSHIRT,HIP,Tops,Restore; ,Sweatshirts & Long Sleeve; Active Tops,WHITE,tops,recover,65.0,,,"Womens Tops
Coaster Luxe Rib High Hip Sweatshirt
Color: WHITE (MAGNOLIA WHITE)
Activity: Restore; 
About Fit and Sizing: Relaxed with room to move; Crew neck
Material details: 56% Cotton/40% TENCEL™ Modal/4% Elastane
Fabric performance: Breathable
Additional features: Thumbholes
Collection: Nirvana
New In","FOR: Lounge and restoration; FEEL: Lightweight with a super-soft rib texture; FAVE: Thumbholes hold sleeves in place and keep warmth in
Restore; "
476716032,476716,ATHLETA GIRLS,GIRLS BOTTOMS,SHORTS,KNIT,Bottoms,,Shorts,RED,bottoms,all day active,28.0,,,"Athleta Girls Bottoms
Athleta Girl Chit Chat Short
Color: RED (CLOVER BERRY 1)
About Fit and Sizing: Close to the body for live-in comfort; Inseam: 3""
Material details: 75% Recycled Polyester/25% Lycra®
Collection: Chit Chat
Limited Edition Drop!","FOR: Sport practice; FEEL: Powervita fabric is buttery soft with support that feels like a gentle hug; FAVE: Super-soft short that has plenty of stretch
"
477828002,477828,ATHLETA GIRLS,GIRLS INTIMATES,BRAS,BRAS,Bras or Support Tops,,Bras,BLACK,intimates,all day active,41.25,,,"Athleta Girls Bras or Support Tops
Athleta Girl Cloud Racerback Bra 2-Pack
Color: BLACK (WHITE/BLACK)
About Fit and Sizing: Close to the body for live-in comfort
Material details: 75% Recycled Polyester/25% Lycra
","FOR: School, practice, and play; FEEL: Powervita fabric is buttery soft with support that feels like a gentle hug; FAVE: Spacer foam through the front panel provides built-in coverage
"
483416002,483416,WOMENS,APPAREL,SWEATSHIRT,LONG,Tops,; Restore,Active Tops; Sweatshirts,BLUE,tops,recover,99.0,,,"Womens Tops
Forever Fleece 1/4 Zip Sweatshirt
Color: BLUE (NAVY)
Activity: ; Restore
About Fit and Sizing: Oversized, fits extra roomy; Covers your assets: longer length for more coverage; Body length in size medium: Regular: 28""
Material details: 75% Cotton/19% Polyester/6% Spandex
Collection: Forever Fleece
Limited Edition Drop!","FOR: Lounge and everyday; FEEL: Plush stretch fleece has a soft, brushed interior; FAVE: Matches back to the Forever Fleece collection for the perfect cozy set
; Restore"
483418002,483418,WOMENS,APPAREL,SWEATSHIRT,HIP,Tops,; Restore,Active Tops; Sweatshirts,BLUE,tops,recover,62.3,,,"Womens Tops
Forever Fleece Crewneck Sweatshirt
Color: BLUE (NAVY)
Activity: ; Restore
About Fit and Sizing: Oversized fit; Regular length, hits at low hip; Body length in size medium: Regular: 28""
Material details: 75% Cotton/19% Polyester/6% Spandex
Collection: Forever Fleece
Limited Edition Drop!","FOR: Lounge and everyday; FEEL: Plush stretch fleece has a soft, brushed interior; FAVE: Matches back to the Forever Fleece collection for the perfect cozy set
; Restore"
483418012,483418,WOMENS,APPAREL,SWEATSHIRT,HIP,Tops,; Restore,Active Tops; Sweatshirts,WHITE,tops,recover,89.0,,,"Womens Tops
Forever Fleece Crewneck Sweatshirt
Color: WHITE (BRIGHT WHITE)
Activity: ; Restore
About Fit and Sizing: Oversized fit; Regular length, hits at low hip; Body length in size medium: Regular: 28""
Material details: 75% Cotton/19% Polyester/6% Spandex
Collection: Forever Fleece
Limited Edition Drop!","FOR: Lounge and everyday; FEEL: Plush stretch fleece has a soft, brushed interior; FAVE: Matches back to the Forever Fleece collection for the perfect cozy set
; Restore"
483873002,483873,WOMENS,APPAREL,SHORT SLEEVE KNIT,HIP,Tops,; Restore,Active Tops; Short Sleeve,WHITE,tops,all day active,27.0,,,"Womens Tops
Essential Graphic Tee
Color: WHITE (BRIGHT WHITE)
Activity: ; Restore
About Fit and Sizing: Relaxed with room to move; High hip, sits at the high hip; Crew neck
Material details: 85% SUPIMA® Cotton/8% Spandex/7% Polyester
Collection: Essential
Limited Edition Drop!","FOR: Commuting, work, and travel; FEEL: Lightweight SUPIMA® cotton fabrication; FAVE: An everyday essential
; Restore"
486183092,486183,WOMENS,APPAREL,PANT WOVEN,SKINNY,Bottoms,,Pants; joggers,GREEN,bottoms,hike,108.0,4.7,2332.0,"Womens Bottoms
Headlands Hybrid Mid Rise Jogger
Color: GREEN (ASPEN OLIVE)
About Fit and Sizing: Semi-fitted, Mid rise; Skims easily over the body; Sits below the natural waist; Inseam: Regular: 29"" Petite: 27"" Tall: 32""
Material details: Recycled Nylon/Spandex
Fabric performance: UPF
Additional features: Pockets
Collection: Headlands
","FOR: Hiking, climbing and exploring-on the trail or off; FEEL: Smooth Trek Tech with stretchy  Light on back; FAVE: Zip pockets secure your essentials; Adjustable drawstring for a custom fit
"
497175002,497175,WOMENS,ACCESSORY,WATCH,FASHION,Accessories,,Watches,MULTI,accessory,na,48.0,4.7,3.0,"Womens Accessories
Superscreen Hydrating Daily Cream SPF 40 By Supergoop!®
Color: MULTI (CLEAR)
About Fit and Sizing: 1.7 fl. oz
Material details: Active Ingredients: Avobenzone 3%, Homosalate 6%, Octisalate 5%, Octocrylene 1.5%
Excluded from Promotion","Visibly restores dry skin; Helps filter pollution; Non-comedogenic
"
508696002,508696,WOMENS,APPAREL,JACKET-SWEATSHIRT,CROP,Outerwear,,Jackets; Sweatshirts,BEIGE,outerwear,all day active,129.0,4.3,19.0,"Womens Outerwear
Seasoft Bubble Hem Full Zip
Color: BEIGE (ABALONE GREY (14-0000)
About Fit and Sizing: Relaxed with room to move; High hip length, hem hits at upper hips
Material details: 49% Polyester/43% TENCEL™ Modal/8% Spandex
Fabric performance: Breathable; Wrinkle Resistant
Additional features: Pockets
Collection: Seasoft
","FOR: Commuting, work, and travel; FEEL: Smooth, cool-to-the-touch fabric drapes beautifully and offers lightweight warmth; FAVE: Easy-access pockets to stash your essentials
"
508696012,508696,WOMENS,APPAREL,JACKET-SWEATSHIRT,CROP,Outerwear,,Jackets; Sweatshirts,GREEN,outerwear,all day active,129.0,4.3,19.0,"Womens Outerwear
Seasoft Bubble Hem Full Zip
Color: GREEN (ASPEN OLIVE (COLORO 05)
About Fit and Sizing: Relaxed with room to move; High hip length, hem hits at upper hips
Material details: 49% Polyester/43% TENCEL™ Modal/8% Spandex
Fabric performance: Breathable; Wrinkle Resistant
Additional features: Pockets
Collection: Seasoft
","FOR: Commuting, work, and travel; FEEL: Smooth, cool-to-the-touch fabric drapes beautifully and offers lightweight warmth; FAVE: Easy-access pockets to stash your essentials
"
530130172,530130,WOMENS,APPAREL,SLEEVELESS KNIT,LONG,Tops,; Hike & Explore,Tank; Active Tops; Shirts & Blouses,BLUE,tops,all day active,34.3,4.7,6113.0,"Womens Tops
Renew Seamless Racerback Tank
Color: BLUE (NAVY)
Activity: ; Hike & Explore
About Fit and Sizing: Fitted next to the body; Body length in size medium: Regular: 23"" Plus: 24""
Material details: Recycled Polyester/Nylon/Spandex
Fabric performance: Wicking; Breathable
Collection: Renew
Selling Fast","FOR: Commuting, work and travel; FEEL: Seamless construction with ribbing for maximum comfort and minimal chafing; FAVE: This elevated essential is great for layering
; Hike & Explore"
530501882,530501,WOMENS,APPAREL,SLEEVELESS KNIT,HIP,Tops,Run & Train,Active Tops; Tank,BLUE,tops,run,29.97,4.7,6990.0,"Womens Tops
Momentum Seamless Tank
Color: BLUE (PINYON BLUE)
Activity: Run & Train
About Fit and Sizing: We make this for Girl too, check it out ; Fitted next to the body; Body length in size medium: Regular: 26"" Body length in size Plus/2X: Regular: 26""
Material details: Solid Colors & Shine: 100% Nylon
Fabric performance: Wicking; Breathable; UPF
Additional features: Hem Grippers
Collection: Momentum
Final Sale","FOR: Medium to high impact workouts at the gym, studio, or outdoors; FEEL: Seamless construction for maximum comfort and minimal chafing; FAVE: Grippers at inner hem to prevent it riding up
Run & Train"
530504322,530504,WOMENS,APPAREL,SHORT SLEEVE KNIT,HIP,Tops,Run & Train,Active Tops; Short Sleeve,BLUE,tops,run,69.0,4.7,3718.0,"Womens Tops
Momentum Seamless Tee
Color: BLUE (NAVY)
Activity: Run & Train
About Fit and Sizing: We make this for Girl too, check it out ; Fitted next to the body; Body length in size medium: Regular: 26""  Body length in size Plus/2X: Regular: 26""
Material details: Solid Colors & Gradient: 100% NylonStripe: 76% Nylon/20% Polyester/4% SpandexHeather: 65% Nylon/35% Recycled Nylon
Fabric performance: Breathable; Wicking; UPF
Additional features: Hem Grippers
Collection: Momentum
","FOR: Medium to high impact workouts at the gym, studio, or outdoors; FEEL: Seamless construction for maximum comfort and minimal chafing; FAVE: Grippers at inner hem to prevent it riding up
Run & Train"
530504482,530504,WOMENS,APPAREL,SHORT SLEEVE KNIT,HIP,Tops,Run & Train,Active Tops; Short Sleeve,BLUE,tops,run,44.99,4.7,3718.0,"Womens Tops
Momentum Seamless Tee
Color: BLUE (DARK LAPIS BLUE)
Activity: Run & Train
About Fit and Sizing: We make this for Girl too, check it out ; Fitted next to the body; Body length in size medium: Regular: 26""  Body length in size Plus/2X: Regular: 26""
Material details: Solid Colors & Gradient: 100% NylonStripe: 76% Nylon/20% Polyester/4% SpandexHeather: 65% Nylon/35% Recycled Nylon
Fabric performance: Breathable; Wicking; UPF
Additional features: Hem Grippers
Collection: Momentum
New to Sale","FOR: Medium to high impact workouts at the gym, studio, or outdoors; FEEL: Seamless construction for maximum comfort and minimal chafing; FAVE: Grippers at inner hem to prevent it riding up
Run & Train"
530525002,530525,WOMENS,APPAREL,LONG SLEEVE KNIT,HIP,Tops,Run & Train,Active Tops; long sleeve tee,GRAY,tops,run,55.3,4.8,302.0,"Womens Tops
Momentum Seamless Heather Top
Color: GRAY (CHARCOAL GREY HEATHER)
Activity: Run & Train
About Fit and Sizing: Fitted, hip length
Material details: Recycled Nylon
Fabric performance: UPF; Breathable
Collection: Momentum
","FOR: Medium to high impact workouts at the gym, studio or outdoors; FEEL: Seamless construction for maximum comfort and minimal chafing; FAVE: Hydrogen odor-controlling yarns keep your favorite styles unstinkable and fresher for longer; Thumbholes hold sleeves in place and keep warmth in; Grippers at inner hem to prevent it riding up
Run & Train"
530587012,530587,WOMENS,APPAREL,SHORT SLEEVE KNIT,LONG,Tops,Run & Train,Active Tops; Short Sleeve,WHITE,tops,train,12.97,4.6,1344.0,"Womens Tops
Ultimate Train Tee
Color: WHITE (BRIGHT WHITE)
Activity: Run & Train
About Fit and Sizing: Relaxed with room to move; COVERS YOUR ASSETS:; Body length in size medium: Regular: 26"" Petite: 24"" Tall: 27"" Body length in size Plus/2X: Regular: 29""
Material details: Nylon/Spandex
Fabric performance: Wicking; Breathable; Quick Dry; UPF
Collection: Ultimate
Final Sale","FOR: Medium to high impact workouts at the gym, studio or outdoors; FEEL: Lightweight and breathable; FAVE: High neck gives you coverage while working out
Run & Train"
530868002,530868,WOMENS,SWIMWEAR,BIKINI TOP,CAMI,Swim Tops or One Pieces,Hike & Explore; Swim Surf SUP,Swimwear,BLACK,swimwear,swimwear,29.97,4.6,647.0,"Womens Swim Tops or One Pieces
Plunge Bikini Top D-Dd
Color: BLACK (BLACK)
Activity: Hike & Explore; Swim Surf SUP
About Fit and Sizing: Light support for D-DD cups with a low-coverage neckline
Material details: 80% Recycled Nylon/20% Lycra® Spandex
Fabric performance: Quick Dry; UPF
Additional features: Adjustable Straps
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Recycled H₂ECO fabric is smooth and sleek with powerful stretch; FAVE: PowerMesh lining holds you in
Hike & Explore; Swim Surf SUP"
530951002,530951,WOMENS,SWIMWEAR,BIKINI TOP,CAMI,Swim Tops or One Pieces,Hike & Explore; Swim Surf SUP,Swimwear,BLACK,swimwear,swimwear,24.97,4.4,322.0,"Womens Swim Tops or One Pieces
Scoop Bikini Top D-Dd
Color: BLACK (BLACK)
Activity: Hike & Explore; Swim Surf SUP
About Fit and Sizing: Light support for D-DD cups with a mid-coverage neckline; Removable pads; Adjustable straps
Material details: 80% Recycled Nylon/20% Lycra® Spandex
Fabric performance: UPF; Quick Dry
Additional features: Adjustable Straps
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Recycled H₂ECO fabric is smooth and sleek with powerful stretch; FAVE: Clean seams for a streamlined look and anti-chafe; Due to the unique dyeing process of this garment the color may transfer when wet
Hike & Explore; Swim Surf SUP"
531024072,531024,ATHLETA GIRLS,GIRLS TOPS,TOPS,S/S,Tops,,Active Tops; Short Sleeve,BLUE,tops,all day active,27.0,4.8,301.0,"Athleta Girls Tops
Athleta Girl Power Up Seamless Sport Length Tee
Color: BLUE (BORA BORA BLUE (16-472)
About Fit and Sizing: Semi-fitted, skims easily over the body; Sport length, sits at the high hip; Body length in size medium: Regular: 17""
Material details: Solids: 96% Nylon/4% SpandexStripe: 66% Nylon/30% Polyester/4% Spandex
Collection: Power Up
Final Sale","FOR: School, practice, and play; FEEL: Seamless construction for maximum comfort and minimal chafing; FAVE: Mantras at arm opening and bottom hem for extra motivation
"
